Device_Name,IP_Address,Device_Type,Location,OS_Version,Status
NYC-CORE-RTR01,10.10.1.1,ASR1001-X,New York,16.09.04,Active
NYC-CORE-RTR02,10.10.1.2,ASR1001-X,New York,16.09.04,Active
NYC-ACC-SW01,10.10.2.10,C9300-48P,New York,17.03.04,Active
NYC-ACC-SW02,10.10.2.11,C9300-48P,New York,17.03.04,Active
CHI-EDGE-FW01,10.20.1.1,FPR2110,Chicago,6.6.4,Active
CHI-CORE-RTR01,10.20.1.2,ISR4451-X,Chicago,16.12.03,Active
CHI-ACC-SW01,10.20.2.10,C9200L-48P,Chicago,17.03.04,Active
CHI-ACC-SW02,10.20.2.11,C9200L-48P,Chicago,17.03.04,Maintenance
DAL-CORE-RTR01,10.30.1.1,ASR1001-X,Dallas,16.09.04,Active
DAL-CORE-RTR02,10.30.1.2,ASR1001-X,Dallas,16.09.04,Active
DAL-ACC-SW01,10.30.2.10,C9300-48P,Dallas,17.03.04,Active
DAL-ACC-SW02,10.30.2.11,C9300-48P,Dallas,17.03.04,Active
LAX-EDGE-RTR01,10.40.1.1,ISR4331,Los Angeles,16.12.03,Active
LAX-ACC-SW01,10.40.2.10,C9200L-48P,Los Angeles,17.03.04,Active
LAX-ACC-SW02,10.40.2.11,C9200L-48P,Los Angeles,17.03.04,Active
MIA-CORE-RTR01,10.50.1.1,ASR1001-X,Miami,16.09.04,Active
MIA-ACC-SW01,10.50.2.10,C9300-48P,Miami,17.03.04,Active
MIA-ACC-SW02,10.50.2.11,C9300-48P,Miami,17.03.04,Maintenance
SEA-EDGE-RTR01,10.60.1.1,ISR4331,Seattle,16.12.03,Active
SEA-ACC-SW01,10.60.2.10,C9200L-48P,Seattle,17.03.04,Active
